employee_id,name,gender,age,salary,department,overtime_hours,performance_rating,hire_date
60645,Gregory Rodriguez,Non-binary,54.0,"$39,379.39",Finance,7.0,2.0,2024-03-11
22749,Brandon Ingram,Non-binary,23.0,"$80,628.57",Finance,18.0,5.0,2024-12-16
12287,Jordan Holland,Non-binary,57.0,,IT,34.0,5.0,2020-09-24
12092,Courtney Torres,Male,33.0,"$114,226.14",IT,50.0,3.0,2023-06-30
28666,Taylor Oconnor,Female,31.0,"$103,382.35",Finance,42.0,3.0,2023-04-14
65491,Brandon Brown,Female,30.0,"$107,361.44",IT,40.0,1.0,2024-08-30
25838,Kelly Mills,Male,50.0,"$65,932.41",IT,17.0,5.0,2024-04-27
93770,William Eaton,Non-binary,40.0,"$55,408.66",HR,22.0,3.0,2024-07-07
18640,Matthew Duffy,Male,37.0,"$105,482.50",HR,28.0,2.0,2024-07-19
40411,Kevin Collins,Female,,"$89,825.29",Marketing,55.0,4.0,2020-12-24
23555,Andrea Osborn,Non-binary,26.0,,HR,39.0,4.0,2023-06-08
54689,William Martin,Male,27.0,,Marketing,15.0,4.0,2024-08-30
66920,Jose Anderson,Male,56.0,"$112,017.88",HR,45.0,1.0,2021-06-24
65320,Barbara Hernandez,Male,27.0,"$92,085.24",Finance,37.0,3.0,2022-04-13
27511,Anthony Cordova,Female,42.0,"$67,625.92",IT,12.0,3.0,2021-10-23
49674,Monica Thomas,Female,54.0,"$79,331.32",HR,51.0,3.0,2020-12-07
65866,Jessica Brown,Female,48.0,"$108,356.24",Sales,23.0,3.0,2020-10-20
39332,Angela Carlson,Male,59.0,"$67,910.07",Sales,54.0,5.0,2024-01-07
21775,Jessica Cook,Male,,"$116,280.20",Sales,17.0,1.0,2020-01-10
88594,Christopher Sims,Non-binary,55.0,"$33,041.41",IT,24.0,1.0,2020-12-28
22883,James Cohen,Female,51.0,"$94,858.47",Finance,,2.0,2022-04-29
32058,Randy Baker,Female,57.0,,Sales,51.0,,2020-10-25
68905,Peter Kim,Male,30.0,"$116,911.40",Finance,57.0,3.0,2021-03-01
37918,Jeffrey Willis,Female,44.0,"$101,480.09",Finance,53.0,2.0,2023-11-15
44101,Brandon Castillo,Male,42.0,"$40,282.72",Finance,60.0,2.0,2024-11-22
90138,Jonathan Knox,Non-binary,,"$109,890.00",Marketing,1.0,1.0,2021-03-26
93424,Kevin Carlson,Male,35.0,"$47,288.20",Sales,22.0,1.0,2021-10-04
56187,Allen Wong,Non-binary,,"$97,668.97",Sales,11.0,3.0,2020-04-07
89574,Douglas Thomas,Female,24.0,,Finance,57.0,1.0,2023-07-27
84404,Andrew Mcmahon,Male,25.0,"$33,678.32",Marketing,34.0,3.0,2023-01-21
42895,Michael Johnson,Female,26.0,"$84,916.64",Sales,23.0,,2023-01-30
30807,Joyce Joyce,Non-binary,54.0,"$52,998.53",IT,55.0,5.0,2022-09-21
1716,Paul Nolan,Female,29.0,"$66,565.63",Sales,20.0,4.0,2021-01-28
29476,Amy King,Non-binary,38.0,"$53,795.93",Sales,13.0,1.0,2022-03-10
83737,Terri Thomas,Female,49.0,"$116,718.80",Marketing,5.0,4.0,2023-11-06
82450,Scott Sanchez MD,Male,27.0,"$96,904.90",Finance,6.0,5.0,2022-07-06
13393,Courtney Harrison,Female,59.0,"$96,807.03",Finance,4.0,3.0,2022-11-23
20124,Megan Owens,Non-binary,55.0,"$41,266.46",IT,30.0,5.0,2023-08-27
44976,Andrew Massey,Female,59.0,"$44,865.76",Finance,,,2021-05-20
69420,Robert Bridges,Female,27.0,"$90,844.41",Sales,4.0,4.0,2024-07-20
9864,Derek Flores,Male,45.0,"$74,390.85",Sales,17.0,3.0,2022-10-22
37773,Jeffrey Garner,Female,34.0,"$38,879.18",Marketing,,4.0,2025-01-26
57193,Keith Mendez,Male,,"$87,325.20",HR,7.0,2.0,2021-07-20
97217,Caitlin Cox,Female,56.0,"$68,318.24",Sales,45.0,5.0,2024-09-15
56938,Karen Huff,Male,51.0,,Finance,28.0,4.0,2022-04-20
63947,Derek Gallegos,Non-binary,43.0,,Marketing,56.0,1.0,2023-01-15
98575,Stacey Mayo,Non-binary,38.0,"$34,482.48",Marketing,4.0,4.0,2023-10-27
73447,Barbara White,Female,47.0,"$38,480.12",Marketing,26.0,2.0,2020-11-02
66326,Clarence Moore,Non-binary,32.0,"$37,797.61",IT,51.0,2.0,2024-11-07
78924,Abigail Haley,Female,51.0,"$45,620.38",Marketing,18.0,5.0,2023-11-27
51412,Paul Mendez,Male,35.0,"$115,184.35",Sales,20.0,5.0,2021-04-05
76114,Christopher Edwards,Male,34.0,,Finance,20.0,5.0,2020-11-07
2012,Jerry Baker,Male,35.0,"$96,549.14",Sales,49.0,4.0,2023-12-13
82914,Erin Garcia,Female,50.0,"$75,661.37",HR,45.0,3.0,2022-04-10
40188,Monica Herring,Female,33.0,"$60,283.16",Marketing,0.0,2.0,2020-04-18
63785,Alyssa Lee,Female,22.0,"$34,469.36",IT,39.0,4.0,2024-12-23
5439,Robyn Evans,Non-binary,24.0,"$78,027.51",HR,47.0,5.0,2024-03-13
28636,Steven Taylor,Non-binary,32.0,,HR,56.0,2.0,2024-08-25
91453,Patrick Lewis,Male,43.0,"$85,057.66",IT,51.0,4.0,2021-11-01
68585,Thomas Gray,Female,55.0,"$92,003.33",Finance,15.0,4.0,2024-05-13
33983,Carlos Williams,Male,27.0,"$42,982.28",HR,8.0,1.0,2021-06-08
76819,Kathleen Black,Female,58.0,"$110,694.35",Finance,49.0,5.0,2021-07-07
18820,James Stafford,Female,28.0,"$109,933.73",IT,49.0,4.0,2024-11-30
7458,Sherry Wright,Male,47.0,"$34,315.24",Marketing,38.0,1.0,2023-03-12
58725,Mr. Walter Shepard,Female,32.0,"$106,296.53",Finance,30.0,4.0,2023-02-02
32335,Patrick Harmon,Male,,"$100,505.08",Finance,35.0,1.0,2022-09-20
44673,Edwin Davis,Female,44.0,"$50,648.82",IT,53.0,5.0,2024-05-12
89609,Amber Green,Female,23.0,,Sales,16.0,1.0,2021-04-03
26537,Brittney Pratt,Female,54.0,"$112,232.77",Finance,17.0,5.0,2021-02-18
7542,Cassandra Hayden,Female,,,Sales,38.0,1.0,2020-09-16
92571,Ralph Kramer,Female,42.0,"$74,594.09",Sales,3.0,3.0,2020-09-05
46548,Karen Hooper,Female,,"$114,163.86",Sales,31.0,5.0,2020-05-05
99803,Ashley Hurst,Female,36.0,"$97,508.86",Marketing,33.0,2.0,2021-09-10
59264,Cole Smith,Non-binary,52.0,"$98,380.87",IT,10.0,1.0,2021-05-08
93508,Carol Brooks,Female,56.0,"$38,306.29",Sales,8.0,2.0,2023-02-11
13117,Krystal Benton,Female,57.0,"$68,411.15",Sales,45.0,4.0,2024-01-21
13350,Tracy Mcneil,Female,55.0,"$48,450.40",IT,39.0,4.0,2020-03-10
58933,Edward Sullivan,Female,37.0,"$72,043.32",HR,38.0,3.0,2022-06-22
50581,Dakota Boyer,Male,39.0,"$80,039.79",HR,5.0,1.0,2022-08-24
82385,Becky Cook,Non-binary,24.0,"$60,137.02",Finance,35.0,5.0,2020-09-21
69490,Christina Gross,Non-binary,28.0,"$40,403.30",Marketing,11.0,5.0,2022-10-27
87579,Edward Wilson,Female,54.0,"$107,868.49",Sales,15.0,1.0,2022-08-04
52240,Lauren Baker,Non-binary,,"$89,245.59",IT,27.0,2.0,2023-05-03
88859,Daniel Ruiz,Male,,"$45,887.17",HR,29.0,2.0,2024-05-01
28279,Timothy Gill,Female,43.0,"$64,435.08",Marketing,4.0,3.0,2020-12-01
29343,Dr. John Murphy,Non-binary,42.0,,IT,,1.0,2020-01-10
85885,Francisco Jennings,Non-binary,32.0,"$107,748.21",Marketing,33.0,2.0,2022-05-20
17716,Michael Pham,Non-binary,28.0,"$105,494.43",Marketing,11.0,4.0,2020-08-25
53077,Kelly Mitchell,Non-binary,25.0,"$44,090.21",IT,41.0,4.0,2020-09-16
54620,Patrick Barrett,Male,38.0,"$69,242.48",Marketing,60.0,4.0,2023-02-18
97007,Peter Mccarty,Non-binary,34.0,"$98,757.93",HR,,2.0,2021-07-09
43396,Benjamin Garcia,Female,52.0,"$49,935.29",Sales,51.0,5.0,2022-04-06
96321,Jason Gonzalez,Female,31.0,"$104,753.77",Sales,,5.0,2021-11-17
69342,Brian Clark,Male,59.0,"$49,623.02",IT,6.0,1.0,2024-05-10
3759,Carla Brown,Male,32.0,"$53,805.03",IT,4.0,2.0,2022-08-29
33838,Thomas Hill,Male,52.0,"$31,643.80",HR,53.0,5.0,2020-04-27
30023,Jeff Vaughan,Male,38.0,"$40,933.19",Marketing,13.0,4.0,2024-05-13
34582,Shelia Hicks,Non-binary,44.0,"$88,593.40",Marketing,,5.0,2020-06-29
74125,Rachel Taylor,Non-binary,55.0,"$38,236.43",Finance,24.0,1.0,2021-12-04
3253,Rita Nguyen,Non-binary,54.0,"$91,097.56",Marketing,34.0,,2023-06-12
76393,Marisa Stewart,Female,40.0,"$65,640.14",Sales,17.0,3.0,2022-04-24
86442,Cynthia Butler,Female,43.0,"$68,968.13",IT,44.0,3.0,2021-12-08
59422,Jack Washington,Male,32.0,"$46,815.28",IT,16.0,4.0,2021-01-06
51402,Stacy Mccarty,Non-binary,53.0,,Finance,,2.0,2023-09-12
80214,Mr. John Chambers Jr.,Female,58.0,"$66,706.22",Finance,12.0,4.0,2022-02-16
62822,Brittany Newton,Female,44.0,"$46,088.65",IT,40.0,,2020-05-30
28021,James Mcclain,Non-binary,35.0,,Finance,23.0,4.0,2020-05-26
16943,Lauren Patel,Female,40.0,"$57,169.69",Sales,49.0,4.0,2024-10-11
79161,Monica Grant,Male,27.0,"$73,106.71",HR,23.0,2.0,2022-07-10
26788,Heather Cummings,Male,45.0,"$109,850.91",HR,45.0,3.0,2020-11-07
50564,Jeremy Miller,Female,41.0,"$105,248.68",Marketing,16.0,3.0,2021-03-21
23568,Brett Little,Male,28.0,"$47,610.64",Sales,15.0,5.0,2020-02-23
7248,Taylor Davis,Female,30.0,"$116,315.85",HR,56.0,,2023-09-27
99189,Lorraine Evans,Female,43.0,"$86,266.46",IT,12.0,1.0,2021-04-23
56455,Shane Scott,Male,59.0,"$107,495.14",IT,3.0,,2022-12-15
12170,Brendan Ferguson,Non-binary,50.0,,HR,41.0,3.0,2022-05-08
30503,Robin Smith,Non-binary,37.0,,HR,1.0,4.0,2024-06-12
76571,Carrie Perry,Non-binary,56.0,"$73,048.87",HR,48.0,2.0,2020-11-08
50495,Dana Garcia,Female,48.0,,Finance,28.0,5.0,2023-06-26
75216,Terri Newman,Non-binary,38.0,"$80,215.49",Sales,42.0,2.0,2024-09-15
15401,Heidi Lindsey,Non-binary,44.0,"$45,142.60",Sales,37.0,4.0,2023-02-27
92989,Jeremiah Jones,Female,34.0,"$114,050.00",IT,49.0,4.0,2020-10-15
6105,Melissa Smith,Female,30.0,"$35,140.24",Finance,38.0,,2022-03-27
76490,Ashley Harris,Female,42.0,"$62,947.80",HR,48.0,5.0,2023-02-09
98783,Rebecca Miller,Female,,,Finance,56.0,1.0,2022-01-27
95462,Michael Salazar,Female,30.0,"$116,351.44",Marketing,44.0,2.0,2022-04-18
13594,Joshua Brown,Female,55.0,"$119,843.17",Marketing,34.0,,2021-05-30
51024,Amy Jenkins,Non-binary,60.0,"$68,864.05",Finance,14.0,4.0,2021-04-04
79232,Patrick Madden,Non-binary,,"$38,753.05",Sales,12.0,4.0,2020-12-02
11953,Nathan Hill,Non-binary,34.0,"$86,227.97",IT,38.0,3.0,2023-07-24
27607,Brittany Higgins,Non-binary,,"$96,874.61",IT,26.0,2.0,2025-01-05
90018,Adam Shaw,Female,47.0,"$73,899.10",Sales,41.0,2.0,2024-07-21
90137,Alexander Scott,Female,36.0,"$50,418.28",HR,26.0,3.0,2022-02-05
17926,Mark Singleton,Non-binary,,,IT,32.0,1.0,2021-10-12
7065,David Ayers,Non-binary,53.0,"$44,747.91",Marketing,23.0,3.0,2021-04-01
51158,Sarah Olsen,Male,59.0,"$94,422.23",Marketing,30.0,5.0,2023-06-07
56662,Richard Roberts,Female,33.0,"$111,208.97",Marketing,49.0,3.0,2023-07-19
38428,Shawn Gutierrez,Non-binary,38.0,"$52,263.92",IT,11.0,,2021-09-23
68202,Tracy Ward,Non-binary,24.0,"$108,824.62",HR,20.0,1.0,2022-06-07
64762,Lisa Tyler,Non-binary,41.0,"$42,035.74",IT,17.0,1.0,2020-11-22
66505,Amy Lopez,Female,,"$64,087.33",Marketing,47.0,,2021-12-20
9756,James Webb,Female,38.0,,HR,24.0,3.0,2020-10-15
61341,Miguel Rocha,Non-binary,48.0,"$107,002.46",Marketing,23.0,2.0,2021-06-08
58011,Sabrina Thompson,Non-binary,27.0,"$110,036.82",Marketing,5.0,2.0,2020-09-09
55892,Kenneth Morrison,Male,46.0,"$100,724.63",HR,57.0,5.0,2024-05-18
76623,Bruce Rivera,Non-binary,23.0,"$118,190.15",IT,2.0,1.0,2021-12-29
92920,Antonio Simmons,Non-binary,53.0,"$39,323.81",HR,3.0,2.0,2021-03-09
83931,Joshua Cook,Female,38.0,"$37,036.62",Sales,45.0,4.0,2021-12-04
73339,Todd Gibson,Non-binary,32.0,,IT,53.0,4.0,2022-01-28
56732,Daniel Martinez,Female,44.0,"$100,884.66",IT,24.0,1.0,2021-08-30
77894,Nicole Spencer,Non-binary,57.0,"$100,961.14",Sales,46.0,3.0,2024-08-03
19582,Joshua Beck,Female,29.0,"$35,568.24",HR,,5.0,2020-02-12
96901,Margaret Cole,Male,40.0,"$86,644.64",Sales,19.0,2.0,2020-06-30
42925,Gregory Contreras,Female,53.0,"$105,946.22",IT,22.0,,2023-04-02
31287,Daniel Rush,Non-binary,25.0,"$100,685.04",Finance,26.0,1.0,2024-08-12
48096,Lauren Rice,Male,45.0,"$51,690.39",Marketing,17.0,5.0,2023-02-01
70000,Robert Gaines,Male,50.0,"$31,064.97",IT,54.0,,2020-11-15
46757,Cathy Gibbs,Female,42.0,"$33,074.79",Finance,44.0,3.0,2022-08-19
97060,Julia Taylor,Male,38.0,"$38,783.44",Sales,54.0,5.0,2022-06-23
86099,Chad Lopez,Non-binary,44.0,,Marketing,18.0,,2021-12-09
52273,James Sims,Male,38.0,"$44,203.49",Sales,25.0,5.0,2024-09-21
55802,Catherine Campbell,Male,29.0,,Marketing,15.0,2.0,2020-11-30
5163,Courtney Cooper,Female,34.0,"$45,721.09",Marketing,0.0,3.0,2020-09-19
80245,William Hartman,Female,42.0,"$105,383.81",HR,29.0,1.0,2020-12-28
86019,Kyle Summers,Non-binary,,"$89,888.76",Sales,9.0,2.0,2023-08-09
82586,Jesse Shepherd,Non-binary,,"$69,006.38",HR,42.0,,2024-06-27
11651,John Jimenez,Male,54.0,"$119,763.84",Finance,57.0,2.0,2021-12-07
84816,Christina Martin,Non-binary,28.0,"$64,023.24",IT,19.0,5.0,2021-08-02
15782,Charlotte Peterson,Female,36.0,"$111,879.08",Sales,5.0,5.0,2023-12-25
22210,Jeffrey Hoover,Non-binary,52.0,"$91,295.10",Marketing,51.0,,2023-04-11
44243,Anthony Gonzales,Male,42.0,,Finance,49.0,4.0,2023-03-11
13966,Cynthia Green,Non-binary,55.0,"$81,601.67",Finance,4.0,1.0,2021-02-16
99601,Michael Cummings,Non-binary,56.0,"$35,402.38",HR,22.0,5.0,2022-05-16
28216,Jonathan Myers,Non-binary,47.0,"$112,806.78",HR,35.0,4.0,2020-12-18
83208,John Garcia,Female,34.0,"$65,051.44",HR,56.0,5.0,2021-02-10
12343,Ruben Riley,Female,,"$35,037.43",Marketing,0.0,4.0,2024-02-14
34544,Briana Wilkinson,Non-binary,30.0,,Sales,42.0,2.0,2022-11-22
62380,Christina Colon,Female,45.0,"$31,737.12",HR,20.0,1.0,2020-10-16
68849,Stephen Sutton,Non-binary,,"$65,275.33",Marketing,6.0,3.0,2023-11-19
72986,Gabriel Wong,Female,45.0,"$57,681.64",Sales,36.0,3.0,2022-10-01
79762,Cory Johnson,Male,,"$80,128.89",Marketing,,,2023-03-27
69,Daniel Aguilar,Non-binary,40.0,"$74,818.51",IT,4.0,1.0,2023-09-11
34530,Patrick Turner,Male,37.0,"$112,254.67",HR,60.0,2.0,2021-05-17
99514,Ruth Glenn,Female,37.0,"$86,970.05",Marketing,,3.0,2022-04-04
16647,Timothy Knox,Female,57.0,"$114,871.32",Sales,15.0,3.0,2021-04-09
82207,James Dunlap,Male,43.0,"$45,701.17",IT,,,2021-05-13
55233,James Jackson,Non-binary,33.0,"$68,022.20",IT,56.0,1.0,2020-04-05
39561,John Pruitt,Female,52.0,"$105,545.12",Finance,37.0,5.0,2021-07-17
31483,Andrew Ortiz,Female,33.0,"$109,075.63",IT,11.0,5.0,2020-12-05
89406,Kelly Burns,Male,51.0,,IT,35.0,5.0,2021-08-26
23416,Brian Torres,Female,23.0,"$114,257.76",Finance,49.0,4.0,2021-09-02
75040,Judy Stone,Male,48.0,"$60,279.17",IT,49.0,,2022-07-14
21307,Tracy Austin,Male,29.0,"$31,150.41",IT,16.0,5.0,2023-02-23
31871,Mr. Joshua Doyle MD,Female,57.0,"$31,204.54",Sales,,5.0,2024-04-05
57459,Melissa Clements,Male,45.0,"$79,028.02",IT,18.0,3.0,2025-01-12
19885,Sean Mejia,Non-binary,33.0,"$41,708.41",HR,34.0,,2023-04-02
9652,Mark Figueroa,Non-binary,56.0,"$30,801.78",Finance,51.0,3.0,2021-04-09
52071,Dillon Hester,Male,60.0,,Marketing,22.0,,2020-02-23
33779,Wesley Adkins,Non-binary,58.0,,Sales,39.0,4.0,2021-05-30
27584,Kim Johnson,Male,24.0,"$61,686.82",Finance,,4.0,2024-02-24
38044,Nancy Prince,Male,42.0,,Sales,17.0,5.0,2022-10-18
53376,Kenneth Mullen,Male,60.0,"$54,065.13",Finance,39.0,5.0,2024-04-24
63195,Arthur Buck,Non-binary,43.0,"$42,728.47",Marketing,19.0,,2021-06-22
85924,Jaime Swanson,Male,25.0,"$64,948.15",Finance,27.0,1.0,2022-08-08
91111,Jeffrey Lopez,Male,25.0,"$32,136.04",IT,47.0,1.0,2020-06-15
43922,Dean Hill,Male,,"$117,298.77",Sales,47.0,2.0,2020-11-08
96792,Madison Jordan,Female,25.0,"$80,819.81",Marketing,30.0,2.0,2022-09-07
98450,Melanie Thomas,Non-binary,,,Sales,41.0,3.0,2023-07-18
76691,Craig Murray,Male,31.0,"$100,037.27",Finance,41.0,4.0,2020-03-23
40134,Robert Choi,Non-binary,31.0,"$62,925.00",Sales,59.0,4.0,2021-10-06
32996,Andrew Wagner,Non-binary,58.0,"$92,838.29",HR,34.0,2.0,2024-11-24
19339,Scott Fernandez,Female,,"$62,844.54",Marketing,52.0,5.0,2021-05-20
34069,Jennifer Richards,Male,56.0,"$77,773.98",Sales,11.0,3.0,2023-01-17
22208,Natalie Herrera,Non-binary,35.0,"$63,042.91",HR,0.0,2.0,2020-08-28
53843,James Salazar,Non-binary,33.0,"$57,909.26",Finance,48.0,2.0,2021-03-07
60654,Patrick Ramsey,Female,28.0,"$62,806.02",HR,48.0,4.0,2021-10-16
87771,Matthew Martin,Female,,"$53,699.24",HR,59.0,3.0,2021-02-19
43531,Anthony Nicholson,Non-binary,31.0,"$83,471.19",IT,,3.0,2021-05-23
61800,Anthony Green,Female,40.0,"$76,329.38",IT,,3.0,2020-12-06
6487,Whitney Christian,Non-binary,36.0,,Sales,23.0,2.0,2021-05-16
34689,Samantha Perry,Male,51.0,"$73,469.16",Sales,35.0,2.0,2020-11-23
40605,Sarah Johnson,Female,59.0,"$102,786.46",Sales,49.0,,2020-01-26
86118,Diane Guerra,Non-binary,56.0,"$60,080.30",Finance,52.0,4.0,2024-06-04
91634,Dr. James Barnes DDS,Non-binary,33.0,"$42,486.67",HR,,3.0,2020-03-01
64978,Micheal Rice,Non-binary,36.0,"$114,616.15",HR,14.0,1.0,2023-04-19
91746,Tracy Salazar,Non-binary,56.0,"$111,582.34",IT,27.0,4.0,2021-07-02
78303,James Drake,Non-binary,58.0,"$98,088.54",IT,30.0,1.0,2022-06-27
38162,Amy Lee,Male,34.0,"$88,669.52",IT,51.0,2.0,2020-09-07
28675,Christina Martinez,Non-binary,22.0,"$77,664.48",IT,34.0,4.0,2021-12-06
31289,Dr. Brian Smith,Non-binary,46.0,"$103,251.64",Sales,47.0,,2020-04-29
45961,David Olson,Male,37.0,"$80,097.78",Sales,48.0,5.0,2022-07-29
31382,Kaitlyn Montgomery,Male,28.0,"$47,755.82",Finance,54.0,4.0,2021-04-22
69786,Anne Bryant,Female,55.0,"$95,792.94",Finance,45.0,1.0,2020-05-28
10759,Elizabeth Walker,Non-binary,58.0,"$73,528.53",HR,40.0,1.0,2021-02-20
75009,Sarah Chang,Female,35.0,"$58,786.32",Sales,8.0,5.0,2023-07-08
24941,Brandon Hoffman,Female,44.0,"$38,623.14",Finance,24.0,5.0,2021-12-27
38149,Martin Moran,Male,41.0,"$103,928.62",Marketing,53.0,1.0,2023-07-26
57759,Isabel Schneider,Male,26.0,"$38,709.28",IT,60.0,3.0,2024-05-05
57015,Brian Mckenzie,Non-binary,60.0,"$72,052.51",Finance,40.0,4.0,2020-06-16
98806,Edward King,Male,56.0,"$63,762.96",Sales,40.0,5.0,2021-12-07
73797,Gregory Campbell,Male,30.0,"$81,830.58",Finance,17.0,1.0,2023-02-04
40168,Erica Lewis,Female,22.0,"$76,028.14",Finance,45.0,,2022-03-05
45061,Kimberly Smith,Non-binary,51.0,"$72,659.78",IT,18.0,5.0,2025-02-11
21985,Michael Solis,Female,47.0,"$107,979.00",Marketing,46.0,3.0,2023-02-08
50277,Lisa Carson DDS,Female,51.0,"$115,338.42",HR,4.0,5.0,2024-07-20
11346,Deborah Sanford,Non-binary,50.0,"$79,852.81",Sales,47.0,3.0,2022-05-31
67403,Manuel Campbell,Female,33.0,"$119,268.64",HR,4.0,2.0,2021-03-26
30611,Jennifer Smith,Male,41.0,"$107,684.90",Finance,3.0,,2023-04-08
18605,Leslie Smith,Male,26.0,"$41,327.95",Sales,,,2020-08-07
3280,Peter Mendez,Male,24.0,"$99,230.46",Marketing,23.0,2.0,2022-05-18
24740,Cheryl Moore,Male,22.0,"$92,730.46",IT,8.0,,2021-08-06
93210,Mark Mcgee,Female,27.0,"$105,365.76",Finance,45.0,4.0,2024-01-01
88468,Mary Peters,Female,46.0,"$47,258.83",Finance,9.0,4.0,2024-02-26
7090,Ashley Herrera,Non-binary,45.0,"$66,249.70",Marketing,15.0,4.0,2024-12-12
77973,Alan Simpson,Male,40.0,"$35,447.30",Finance,40.0,5.0,2021-07-19
55595,Jeremy Atkins,Male,54.0,"$65,935.34",Sales,60.0,3.0,2020-06-22
97026,William Page,Male,32.0,"$38,433.00",Sales,16.0,1.0,2023-05-18
53750,Jacob Thomas,Female,46.0,"$90,844.47",HR,48.0,4.0,2023-11-08
6387,Richard Larsen,Male,26.0,"$55,853.79",Marketing,42.0,5.0,2023-06-07
79982,Michael Johnston,Male,36.0,"$59,386.32",Finance,48.0,4.0,2023-05-20
25726,Gregory Hall,Male,51.0,"$79,318.48",IT,21.0,2.0,2021-03-22
84314,Brooke Murray,Male,54.0,"$63,958.51",Sales,45.0,3.0,2021-02-06
17535,Patricia Jones,Male,56.0,"$58,388.41",HR,14.0,4.0,2022-03-22
58940,Jonathan White,Female,42.0,"$90,437.70",HR,24.0,1.0,2023-03-25
26961,Carmen Myers,Female,42.0,"$69,870.19",IT,44.0,1.0,2021-01-13
26512,Michael Williamson,Female,30.0,"$70,376.86",Finance,31.0,1.0,2024-06-01
28073,Sarah Willis,Non-binary,47.0,"$86,978.30",IT,10.0,3.0,2020-09-23
15432,Oscar Roberts,Male,50.0,,Sales,54.0,5.0,2020-06-20
38769,Kristina Porter,Male,35.0,"$68,168.09",Sales,38.0,4.0,2024-12-13
81434,Frank Smith,Female,24.0,"$115,904.29",IT,23.0,1.0,2024-02-27
32705,Travis Simmons DVM,Female,39.0,"$106,129.62",Marketing,36.0,4.0,2021-01-16
20367,Johnathan Anderson,Female,49.0,,HR,,2.0,2021-09-22
36200,Nathan Harris,Female,60.0,"$99,377.85",Sales,37.0,1.0,2022-10-10
